Nom,Latitude,Longitude,Altitude,Zone,janv.,févr.,mars,avr.,mai,juin,juill.,août,sept.,oct.,nov.,déc.
Abbeville,50.136,1.834,69,NO,4.416014733497062,5.088345506510026,7.1848149754264465,9.75229933614969,12.884036179450096,15.933659817009172,17.6640688553167,17.818991438107698,15.381904690318724,12.019231995363015,7.801385924207294,5.118958489435061
Ajaccio,41.918,8.792667,5,SE,8.97134568079875,9.086834760545534,10.951719607276951,13.586948013146126,17.399221548238035,21.59602754078733,23.86979329285923,23.890733574007243,20.840688828990736,17.513783666377087,13.140287311694385,10.003385307346349
Alencon,48.4455,0.110167,143,NO,4.5026263355472365,5.042608903020691,7.3969008564378225,9.9828214339171,13.431215663354786,16.93959599027949,18.613704515563374,18.444194488992586,15.455330899132841,11.899665738161582,7.609890453834138,4.985297029702993
Bale,47.614333,7.51,263,NE,2.102670511896202,3.250383518225062,6.62826973113619,10.519056069191791,14.87760040450739,18.859164553185163,20.11271701388891,19.659927839515106,15.428438015290084,11.174471098265919,5.962064326581127,2.901689401888795
Bastia,42.540667,9.485167,10,SE,9.132502535864392,9.277053770283192,11.186677362893839,13.764724694524084,17.79583103097283,22.107909376401995,24.84650740633171,24.81467511655014,21.202917293233103,17.452476356758353,13.20365363650524,10.125015169902936
Belle Ile,47.294333,-3.218333,34,NO,8.237903930131028,8.105601851851874,9.352749058025644,11.224828674481538,13.93244450934582,16.744060070132665,18.283536817449885,18.37045533642694,17.065228091236516,14.712608695652197,11.589031651519923,9.227812971342406
Bordeaux,44.830667,-0.691333,47,SO,6.740362350223785,7.498860719378885,10.393813644886796,12.916876773711747,16.409327451547608,19.932327419114383,21.46443963027154,21.509735892625223,18.715452095808406,14.931216724537059,9.871631578947392,7.252570058444501
Bourges,47.059167,2.359833,161,NO,4.28257385790462,5.079095079892445,8.218109589041118,11.154086230046271,14.919293540945814,18.938769574944097,20.583998554913318,20.416924852156377,16.794166915943784,12.699568667051379,7.6459996907376135,4.852853935947344
Brest,48.444167,-4.412,94,NO,7.088125271228144,7.152072900158502,8.404363347304548,9.91768126775305,12.594519480519503,15.263835371309298,16.78430390738063,16.729380057803493,15.307506395786328,12.875331198136578,9.784268860602321,7.721111111111135
Caen,49.18,-0.456167,67,NO,5.477962133256274,5.959985664224298,7.696504994932701,9.734868342310017,12.833763051044107,15.986572327044048,17.768655976676406,17.88459365493266,15.69171450037568,12.5659418402778,8.64102711076687,6.088499174546024
Cap Cepet,43.079333,5.940833,115,SE,9.107509139248943,9.01645243211567,11.298337846987158,13.727985393658734,17.30509528759531,21.405858181818207,23.718359905020375,23.852938535911626,20.421422398271538,16.88940044411549,12.475549270073016,9.96681272204367
Clermont-Fd,45.786833,3.149333,331,SE,4.124927703875095,5.061799395962509,8.10338396990743,11.004546271338748,14.906981786643561,18.894257100149503,20.63235123367201,20.427813630444245,16.596907745734583,13.014073697954469,7.7393285669879,4.877386073093722
