numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250401000000;102730;-110;8;70;3.100000;277.750000;276.450000;91;17950;0;mq;mq;mq;mq;mq;mq;mq;mq;101830;mq;mq;90;mq;mq;mq;mq;277.050000;mq;mq;4.800000;6.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250401000000;102780;-80;8;30;4.400000;278.650000;276.850000;88;14690;0;mq;mq;mq;0;mq;mq;mq;mq;102190;mq;mq;250;mq;mq;mq;mq;278.550000;mq;mq;5.700000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20250401000000;102460;-120;8;90;7.200000;282.150000;279.950000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102350;mq;mq;-190;mq;mq;mq;mq;mq;mq;mq;11.900000;11.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250401000000;102510;-110;8;90;2.300000;280.150000;276.950000;80;20100;0;mq;mq;mq;0;mq;mq;mq;mq;101680;mq;mq;-130;mq;mq;mq;mq;282.850000;mq;mq;4.500000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20250401000000;102610;-110;7;60;4.800000;278.850000;276.150000;83;27310;0;mq;mq;mq;0;mq;mq;mq;mq;100670;mq;mq;-10;mq;mq;mq;mq;280.650000;mq;mq;7.100000;7.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20250401000000;102610;-90;8;70;2.100000;278.150000;273.350000;71;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101420;mq;mq;130;mq;mq;mq;mq;279.850000;mq;mq;5.000000;6.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20250401000000;102080;-180;7;80;5.400000;282.050000;278.650000;79;40600;0;mq;mq;mq;0;mq;mq;mq;mq;100880;mq;mq;-710;mq;mq;mq;mq;282.550000;mq;mq;8.300000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20250401000000;102200;-170;6;80;6.000000;282.750000;280.850000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101490;mq;mq;-570;mq;mq;mq;mq;mq;mq;mq;9.600000;12.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250401000000;102260;-90;8;90;4.600000;282.450000;275.550000;62;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101810;mq;mq;-480;mq;mq;mq;mq;279.850000;mq;mq;7.000000;7.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20250401000000;102440;-120;7;30;2.000000;279.350000;274.850000;73;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100650;mq;mq;-190;mq;mq;mq;mq;282.250000;mq;mq;2.900000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
